"tweet","tweet_id","date_tweeted","covax_relevancy","stance"
"WASEME TU KAMA HUNA CHANJO HAKUNA KUJAMIIANA NA MTOTO WA WATU KAMA TANZANIA NZIMA HAIJAENDA KUCHANJWA
😁😁😁😁😁😁😁😁",1.42244e+18,2021-08-03,"relevant",1
"@Infectivesabhu1 Mimi siipigii tena chapuo chanjo ya COVID.

Nilitoa RAI kwa waTZ wenzangu mara moja tu.

Kinachofuatia sasa ni kila mtu ajiamulie mwenyewe.

Silipwi mimi kutoa ushauri wa kiafya hapa twita. Nafanya hivyo kutokana na uelewa wangu ambao una",1.42842e+18,2021-08-19,"relevant",1
"RT @AsajileF: Je, mnatambua kwamba gonjwa la Uviko-19 bado linasumbua dunia? Basi, tunapaswa kuchukua tahadhari dhidi ya ugonjwa huo kwa ku…",1.54717e+18,2022-07-13,"relevant",1
"Kwa hali ilivo mbaya xaiv wakisema watest chanjo kwa watanzania bado tutakataa?? @Rahim_Meghji",1.25232e+18,2020-04-20,"relevant",1
"RT @swahilitimes: Wizara ya Afya: Waziri Mkuu hajadanganya kuhusu wimbi la nne la UVIKO19 https://t.co/wWGaaYsN8w",1.47318e+18,2021-12-21,"relevant",1
"@TumainiMakole Yes...lakini kwani chanjo ya kuku tumeweza?Amesema kiwanda cha chanjo ni mradi wa bilioni ngapi na zinatoka wapi ? Pesa atakayolipa Seth tutaifanyia nini ?",1.40545e+18,2021-06-17,"relevant",2
"Ndugu wana Twitter, asubuhi ya leo ningependa kukuambia kuwa ni heri kuchoma chanjo ya Covid 19 utatengeneza kinga mwilini kuliko kubaki bila kinga yeyote kama papai. 
#TusifikeHuko 
#UjanjaKuchanja",1.43546e+18,2021-09-08,"relevant",1
"@Sisimizi3 @ikulumawasliano Kachanje kwanza chanjo ya corona, la sivyo huvuki mpakani",1.43012e+18,2021-08-24,"relevant",1
"Hivi baada ya Chanjo mtu nakuwa huru kutembea bila barakoa, kushikana mikono, kutozingatia social distance n.k? @DrCyrilo @NormanJonasMD @DrMabula https://t.co/AQWbDriAK2",1.33997e+18,2020-12-18,"relevant",1
"Rais E. Mnangagwa akiwa katika msiba wa Moses Mpofu. Na bila shaka kachoma chanjo, lakini anavyochukua tahadhari ni mfano tosha wa kuigwa kwa jamii.

Na Rais wetu alitakiwa kuwa mfano wa hivi kwa jamii. Kuvaa barakoa hasa anapohudhuria misiba ya watu waliofariki kwa corona. https://t.co/N69ECgzJKA",1.36307e+18,2021-02-20,"relevant",1
"RT @officielsalome: Hakuna kitu kizuri kama ukiwa na afya njema. Jilinde dhidi ya COVID-19 kwa kupata chanjo [kwako na kwa wale uwapendao].…",1.57073e+18,2022-09-16,"relevant",1
"😂😂😂

Tupeeni ""Chanjo"" 

Hapana tunawapea ""Chinjo"" https://t.co/C8dD5Ce0tl",1.38061e+18,2021-04-09,"relevant",2
"Haya mambo ya Chanjo ni kama yananichanganya binafsi, Marekani eti ukikubali kuchanjwa unapewa dolla 100#, haya hapa kwetu wanakuambia kabisa litakalo kukuta Serikali haliwahusu! Sasa mbona mimi sielewi,mwenye ufahamu wa jambo hili tafadhali tuelimishane. 🗣🗣🤔🤔🤔🤔🤔",1.42279e+18,2021-08-04,"relevant",2
"...mifano Lishe hata Madagascar gata NIMRCAF hatusikii hizo kelele...wala pushing Intercontinental collab efforts...but nyie ni namba za projections za vifo na chanjo tuu? Why? https://t.co/KV2afRzw1R",1.26178e+18,2020-05-16,"relevant",2
"@Enginee64171419 @swahilitimes Mmetumia chanjo zao nyingi mnazidi kutumia vitu vyao vingi sana kutoka kwao na bado mnaendelea kutumia vitu vingi toka Ulaya halafu leo mnasema chanjo yao mbaya!! Huo ni unafiki!!",1.41997e+18,2021-07-27,"relevant",1
"@swahilitimes Mlishaambiwa chanjo zinapelekwa kutokana na mabadilklo ya hali ya hewa ili yathiathili uwezo wake kwenye nyuzi joto linalohitajika kuifanya iwe salama",1.42809e+18,2021-08-18,"relevant",1
"RT @McinikaWaLamar: Chanjo ya UVIKO 19 ni miongoni mwa njia zenye ufanisi katika kukinga na kudhibiti kusambaa kwa ugonjwa huu

#TusifikeHu…",1.44434e+18,2021-10-02,"relevant",1
"RT @MiriamMkanaka: Hakikisha unamaliza chanjo yako kama bado ujamaliza.

#TanzaniaIkoTayari | #UjanjaKuchanja",1.57041e+18,2022-09-15,"relevant",1
"Tuhakikishe chanjo zipo za kutosha ili kampeni iendane na upatikanaji.
Chanjo hazitaki kukaa Sana zitoeni ziishe kabla hazijaharibika.
@wizara_afyatz",1.42214e+18,2021-08-02,"relevant",1
"Waziri Kijaji ameeleza kuwa sababu ya ya ukosefu wa sukari hiyo ni kutokana na ukosefu wa Makasha ya kusafirishia shehena ya sukari hiyo kuja hapa nchini uliojitokeza duniani kote kutokana na athari za UVIKO-19.

#WasafiDigial",1.48563e+18,2022-01-24,"relevant",1
"@SnrDirector Hongera kwake amejua nini kinahitajika ktk jamii, unapeleka elimu na chanjo kwa pamoja ndicho wanachohitaji wananchi",1.44198e+18,2021-09-26,"relevant",1
"Watz  tuungane KUITAKA Govt ichukulie hatua kumshtaki mtu yeyote anaesema kuna dawa au chanjo ya Korona iwe Kanisani, Msikitini au mtaani maana ni upotoshaji na kutengeza janga.. Korea Kusini mfano

@umwalimu @HildaNewton21 @MariaSTsehai @MarekaMalili @zittokabwe @MwananchiNews",1.24962e+18,2020-04-13,"relevant",2
"@FatmaSulley Kupata chanio no maamuzi binafsi na suara hili no vema watu wakariangalia kwa mapana zaid tusiendeshwe kwa Hoff  lah ! Kwa sababu kuna kuna vitu nyuma ya chanjo hii , lazima tujiulize maswal mengi mno hasa kwa viongozi wetu hawa asante sana n",1.41986e+18,2021-07-27,"relevant",2
"@Advocate_Jebra Mbinguni katumwa watu kutuua? Tumepokea chanjo ngap mpaka leo kutoka ayo mataifa na hatujapata madhara?ana taaluma gan kuhusu vaccination ya UVIKO_19? kasomea hiyo field? Au ndio kaamua kutafuta trend tu ajui analosema sahihi watu wake kuj",1.41962e+18,2021-07-26,"relevant",2
"RT @mamayukokazini: Chanjo za UVIKO19 Tanzania;

💉Zimelinda afya za Watanzania

💉Zimewezesha ukuaji wa uchumi kupitia biashara na utalii

M…",1.49977e+18,2022-03-04,"relevant",1
"Wewe n Shabiki wa Aseno halafu utaki chanjo...Em kuweni serious nyie n vipaumbele @PresenterNoah @itzjacton @George_Ambangil https://t.co/9XNNuGp9t7",1.42356e+18,2021-08-06,"relevant",1
"@UsalamaWaTaifa Sio hatari kaka ukweli ndo huo yani afe beki afe kipa chanjo #SITAKI Apa Gwaji boy kaongea point ✊🏿",1.42008e+18,2021-07-27,"relevant",2
"@_Mrc_09 😂😂😂haya ukapate chanjo",1.42319e+18,2021-08-05,"relevant",1
"@funjojr 13 huyo hana haja ya chanjo",1.42087e+18,2021-07-29,"relevant",2
"@nulphin @wizara_afyatz @SuluhuSamia @kigogo2014 @ChangeTanzania @lifeofmshaba Ulitaka Serikali ifanye nini na mshaambiwa mjikinge kwa kufuata kila masharti ya wataalamu wa https://t.co/herVok6erJ mpaka chanjo zimeletwa mnataka nini enyi Wana msio na shuk",1.41828e+18,2021-07-22,"relevant",1
"@bajabiri Tatizo chanjo no sindano, Mimi na sindano hapana walete za vidonge tukimbilie.🧎🏃",1.44496e+18,2021-10-04,"relevant",2
"@jokateM FUNDI ANATUMIA ILE MBINU YA MAREKANI KUPELEKA CHANJO YA CORONA UGANDA KWAAJILI YA MAJARIBIO WAKATI CORONA BADO HAIJAFIKA",1.24061e+18,2020-03-19,"relevant",2
"@gracemella95 😂vipi
Chanjo ya Newcastle disease ni kweli ipo unawatia machoni
Oya nimesoma Agriculture Olevo ujue😂",1.32329e+18,2020-11-02,"relevant",2
"@humour_therapy @MwananchiNews Kwani unaiogopa chanjo?",1.41101e+18,2021-07-02,"relevant",1
"RT @officielsalome: Chanjo huandaa kinga yako ya mwili kutambua na kupambana na virusi vinavyosababisha Uviko 19, jilinde na uwalinde uwape…",1.45765e+18,2021-11-08,"relevant",1
"@EJ_Mwita Ni sawa.  Lakini kumbuka sisi tunaingia kwenye uwanja huu baada ya chanjo hizi kutumika sehemu nyingi sana kwa hiyo zinafahamika.  Hatupewi wa kwanza.
Nina watu watatu ninaowafahamu personally wamekufa kwa matatizo ya kupumua katika wiki moja il",1.42005e+18,2021-07-27,"relevant",1
"@Advocate_Jebra Mtoa ripoti itakuwa izo virus zimetafuna files sasa na chanjo wala dawa hakuna tunge recover kwa Antivirus ya kabudi ila na yeye kasema si ya kugawa sasa bila shaka tupambane tu wenyewe",1.26014e+18,2020-05-12,"relevant",2
"Serikali ya kifala kweli hii ona sasa ilituaminisha kuhusu chanjo kumbe hata hawajui lolote https://t.co/fNymvd2cQk",1.41684e+18,2021-07-18,"relevant",2
"Bashiru unanifutia lini uraia nataka niende zangu New York nikapate chanjo nishachoka kuwa mtanzania.",1.3675e+18,2021-03-04,"relevant",1
"RT @MarekaMalili: Tukumbushane basics za kujikinga na Uviko 19.
#IpeUsafiIkupeUhai https://t.co/KOlImTfkXq",1.51347e+18,2022-04-11,"relevant",1
"@kigogo2014 Hii nchi wasomi ndio wapumbavu kbsa, uliona wap mtoto kaugua baada ya kuchoma izo chanjo??? Sasa chanjo ya covd unachomwa na unaugua , Kwahilo mwenyekit katukosea sana",1.41742e+18,2021-07-20,"relevant",1
"Pateni chanjo K.O.T. https://t.co/wVnELfZaOg",1.47186e+18,2021-12-17,"relevant",1
"Toka chanjo ya uviko-19 ianze kutolewa kuna yeyote uliyesikia kageuka zombie??
#UjanjaKuchanja 
#ChanjaUsalimike",1.50015e+18,2022-03-05,"relevant",1
"@MiriamMkanaka @officielsalome Kama ni hiari mbona kwenye ile fomu kuna kipengele kinasema ukipata  chanjo na ukapata madhara wizara ya afya haitahusika.Shame on them",1.43023e+18,2021-08-24,"relevant",2
"RT @Adloph6: @millardayo katk kipindi cha ugonjwa wa mlipuko wa UVIKO19 ambapo uchumi wa Nchi mbalimbali umeshuka, maisha yamekuwa magumu,…",1.42866e+18,2021-08-20,"relevant",1
"Sifa za babu ni kucheza cheza na wajukuu wakati mwingi. Kwa kutambua umuhimu wa chanjo katika kipindi tulichopo Bwana Ahmed Aurora ambaye pia ni mwenyekiti wa usajili @coastalunionfc ameamua kuchanja ili awalinde hata wajukuu zake.
 #SasaNiZamuYetu 
#UjanjaKuchanja 
#NyumbaNiChoo https://t.co/tNVm1I16fL",1.47145e+18,2021-12-16,"relevant",1
"Mbona mlio chanjwa hiyo chanjo ya uviko 19 bado mnavaa barakoa",1.43002e+18,2021-08-24,"relevant",2
"@Roma_Mkatoliki @Adp53827467 Jibu swali bro, acha jeuri! Hao ndo watu wanategemea muwape elimu na kuwatoa missconception walizo tengenezewaa,, afu wewe unajibu undezii,, kwan uko kuna chanjo moja tu J&amp;J iliyo letwa huku bongo!",1.42059e+18,2021-07-29,"relevant",1
"Mimi kama chanjo yenyewe ni #AstraZeneca , acha tu nife ,kuishi ni kuchagua. https://t.co/P2jYZ3fBy5",1.40404e+18,2021-06-13,"relevant",2
"RT @MarekaMalili: Wataalamu wa afya wanasema, watu wanaosita kupata chanjo ya Uviko 19, wana kiburi cha afya.
Yakiwakuta watajuta.
#UjanjaK…",1.51391e+18,2022-04-12,"relevant",1
"@darmpya_ @HKigwangalla Point ila sidhani itafanya kazi ! Wanasayasi wajitokeze tu kusema wameshindwa swala Corona , wawe wazi tu! Corona tunaishi nayo Kama mangonjwa mengine. Walihamasisha Sana mambo ya lockdown bado haijasaidia, Leo tunaweka nguvu na ku",1.37878e+18,2021-04-04,"relevant",2
"Tusichukulie poa kabisa UVIKO-19  unaondoa Sana watu kimya kimya. Tuendelee kufuata ushauri Kutoka kwa wataalamu wa afya

#TusifikeHuko #UjanjaKuchanja",1.44147e+18,2021-09-24,"relevant",1
"Ndugu zetu Watanzania🇹🇿, why do you need two people right behind the President? Kuzidisha, watu hao wawili ni wanawake! Kisha watu hao wawili pamoja na Rais hawana barakoa na mwajua vizuri kilichompoteza Pombe ni #CoronaVirus, na chanjo hamna wala hampimi wanaougua? Tuwasaidieje? https://t.co/2CqdXhW1dJ",1.37283e+18,2021-03-19,"relevant",1
"Nilikuwa nawakumbusha tu kuwa chanjo ni muhimu sana, CORONA ipo.

#UjanjaKuchanja
#IpeUsafiIkupeUhai",1.51395e+18,2022-04-12,"relevant",1
"Sina hili wala lile, napambania chanjo ya Corona, tena kuna Monkeypox🙆🏿‍♂️🙆🏿‍♂️🙆🏿‍♂️ https://t.co/dQ30fIpAC1",1.42217e+18,2021-08-02,"relevant",1
"""Shukrani za pekee ziwaendee Serikali ya Jamhuri ya watu wa China katika kujali afya za Watanzania kwa kutupatia Chanjo hizi za Sinopharm Dozi 500,000 ambazo zitatusaidia kuwakinga watanzania 250,000 dhidi ya  UVIKO-19.""@gwajimad,

#KaziIendelee https://t.co/N84hYn8oKW",1.45521e+18,2021-11-01,"relevant",1
"Ngoja Nikatembee Jumapili hii kabla hatujaanza kuambiwa uwezi tembea kama hauja pata chanjo

Huu uhuru Niutumie ipasavyo kwa sasa.",1.4268e+18,2021-08-15,"relevant",2
"@wa_uzi @fatma_karume Nenda kasome kidogo stage za kuanzisha chanjo au dawa mpaka ikaja kwa jamii.
We toka umezaliwa ushapata chanjo zaidi ya 15 nadhani waliokupeleka clinics ni wajuaji sana",1.35505e+18,2021-01-29,"relevant",2
"@lifeofmshaba Gwajiboy huna Mamlaka ya kumuukumu mtu kifo acha kutupiga mkwara wew. Chanjo tunachanjwa na kufa hatufi.",1.41967e+18,2021-07-26,"relevant",1
"@nulphin Wanaoleta chanjo wenyewe hawajui inaitwaje cha ajabu ni kuwa siku ya kwanza ya uzinduzi mtu anauliza et ""Naambiwa hapa hii chanjo ni mara moja tu sio kama zingine"" ni kuwa hakuambiwa mwanzoni kabla au vipi hii nchi bhn",1.42225e+18,2021-08-02,"relevant",2
"RT @moodewji: Ndugu zangu Waafrika na mashabikinwa Simba: Nimepeta chanjo ya UVIKO-19. Mhe Rais wetu Mama Samia @SuluhuSamia, na wachezaji…",1.43165e+18,2021-08-28,"relevant",1
"@MijuLee_Tz @moodewji Tuna tengeneza kiwanda cha chanjo ambazo tuta wauzia ata nyie Yanga brother",1.45548e+18,2021-11-02,"relevant",1
"Bado kuna upungufu mkubwa wa ufadhili wa chanjo hizo  kwani watafiti wanahitaji dola bilioni 28.2 za kimarekani. #OngeaUsikike 
https://t.co/2cFKe88Qqs",1.33639e+18,2020-12-08,"relevant",1
"@JamiiForums 319,730  Kati ya 320,000 wapo salama, @JamiiForums namna mlivyo ripoti hii Habari si Sawa  kwani mmesapoti kampeni ya watu wenye kupinga chanjo zote kwa ujumla wake (untivaccines)",1.3798e+18,2021-04-07,"relevant",1
"KAZI za mashirika changamoto... Mlisema chanjo hiari sasa beats za chagua kati ya kazi na chanjo linatoka wapi!? Dah poleni",1.41269e+18,2021-07-07,"relevant",2
"RT @McinikaWaLamar: Chanjo ya UVIKO 19 inawezesha kingamwili kupambana na virusi vya korona. tuchukue tahadhari mapema ili kupunguza kuenea…",1.44393e+18,2021-10-01,"relevant",1
"Sisi mashabiki wa Arsenal tunaiomba serikali tupewe kipaumbele kwenye chanjo.",1.42643e+18,2021-08-14,"relevant",1
"@BestaMlagila Kukarabati ndege tu na barabara kumewashinda , mkaanza elimu bure likawashinda utelekezaji...chanjo mtaweza?",1.41185e+18,2021-07-05,"relevant",2
"@udamela Mbona hajawabeba nao wakapata chanjo?",1.42045e+18,2021-07-28,"relevant",2
"#Pata chanjo kaa chonjo https://t.co/lHpeJICOq5",1.43476e+18,2021-09-06,"relevant",1
"@KijahYunus @SuphianJuma @SuluhuSamia Sijawahi kuacha kumuombea. Zaidi huomba sana aachane na mambo ya chanjo za kovid",1.45845e+18,2021-11-10,"relevant",2
"Jilinde, ilinde familia na jamii yako. fanya maamuzi ya kupata huduma ya chanjo ili tumshinde adui mkubwa wa UVIKO 19

#UjanjaKuchanja",1.48819e+18,2022-01-31,"relevant",1
"RT @davitheempire: ITOSHE kusema tumetia AIBU kwenye mkutano wa UN haiwezekani NCHI seriously TUNAENDA KUOMBA WATUSAIDIE kutuwezesha kupata…",1.44128e+18,2021-09-24,"relevant",2
"@maganga_sm @ReganTesha_ @swahilitimes @MsigwaGerson Kuwa #Chawa wa kila awamu ni #Kipaji. Kaka yangu @MsigwaGerson ni chawa max pro wa awamu ya 5&amp;6. Bora hata hili la treni, alichonishangaza ni lile la #Chanjo😂. Tutafika mbinguni tukiwa tumechoka ",1.48319e+18,2022-01-17,"relevant",2
"RT @MarekaMalili: Kwanini hujapata chanjo ya Uviko 19 mpaka leo?  #TanzaniaIkoTayari
#UjanjaKuchanja",1.5668e+18,2022-09-05,"relevant",1
"@IAMartin_ @PKarugendo Maswali ya kitoto sanaa umemuuliza na sio kama hamuelewi ila ndo matumbo yenu yanahitaj mfanye hvyo na hyo chanjo ikija sio mbaya utatuwakilisha mkuu",1.39798e+18,2021-05-27,"relevant",2
"RT @McinikaWaLamar: katika hatari kubwa ya kuugua sana au kufariki. Chanjo ya virusi vya korona inazuia ugonjwa wa UVIKO 19. Lengo kuu Ni k…",1.44532e+18,2021-10-05,"relevant",1
"RT @arusha_icon: Majobless eenh.. Kuchanja ndiyo Mpango mzima Kwani itasaidia Kujilinda na Kuwalinda tuwapendao Wasipatwe na Maambukizi ya…",1.48413e+18,2022-01-20,"relevant",1
"RT @earadiofm: Serikali yatoa elimu ya matumizi ya tiba asili katika kupambana na Uviko-19:- https://t.co/bVIhdpBzPj https://t.co/tqm1ZpOBGm",1.43193e+18,2021-08-29,"relevant",2
"@KambiMuntazir @_iAlen @MagufuliJP @jgwajima @fatma_karume @MariaSTsehai @kigogo2014 @DrTedros @itetemia @CatherineRuge @Tz_Kwanza @AnethStanley @ThabitSenior @WemaKako Toka mwezi wa March. Sasa tunaelekea mwezi August. Kama chanjo ni mbaya mwambie Gwajim",1.41947e+18,2021-07-26,"relevant",1
"Kama Hichi Kikosi Unakifahamu Wahi Chanjo Acha Kubishana Na Watu. https://t.co/1OmicsTzcr",1.42045e+18,2021-07-28,"relevant",1
"@RadioCitizenFM @Kawawaz Wa Likuyani.nashukuru mungu.juzi nilipata chanjo ya corona.mwili ukawa na udhaifu.naenda nikiwa sawa.#PambazukaJumapili.",1.4724e+18,2021-12-19,"relevant",1
"@bajabiri Chanjo lazima iwafikie watoto",1.50904e+18,2022-03-30,"relevant",1
"@2f78a0ee977c4cf @AvordM @bbcswahili Biashara za watu? FDA iliyo approve chanjo inafaidika nini? Haki ya nani nyie watu hamjielewi ambavyo mna sound dumb as f**k.",1.41952e+18,2021-07-26,"relevant",2
"@abdiano83 Kaz nzur kwa kuendelea kutoa Elimu ya chanjo na namnq ya kujikinga na uviko-19",1.44438e+18,2021-10-02,"relevant",1
"@RealHauleGluck @TumeUchaguziTZ Ulikuwa unapata mgao kwa hao UVIKO 19?",1.52519e+18,2022-05-13,"relevant",2
"Wananchi wanapofikia na kupata taarifa/Elimu sahihi juu ya umuhimu wa kupata chanjo ya UVIKO-19 ile hofu na woga wanakua hawana na wakua wapo tayari kupata huduma ya chanjo, tusichoke kuifikia jamii elimu ndio msingi wa fikra chanya.
@FestoNgadaya https://t.co/jBkA4IFHmr",1.55222e+18,2022-07-27,"relevant",1
"@Mbanga83 @darmpya_ @SuluhuSamia Are u insane? Mataifa ya ulaya na marekani kwa ule wingi wa vifo ulitegemea serikal iwe reckless Kama yule baba yenu mficha maradhi?! Oh, Jesus! Alaf Sasa ivi wenzenu wameanza kusettle, chanjo pamoja measures wanazingatia ",1.42015e+18,2021-07-27,"relevant",1
"@PaulFra39382508 @AthumaniIsmail3 @mshambuliaji @kigogo2014 😅😅We jamaa mjinga  wewe  sasa nani kasema chanjo sio nzuri??  Ana uhakika upi??? Ila watu bhana",1.42971e+18,2021-08-23,"relevant",1
"RT @officielsalome: Kupata chanjo ya Uviko-19 ni bure na kwa kila mtu na salama pia. Usiogope kuchanja maana #UjanjaKuchanja",1.46936e+18,2021-12-10,"relevant",1
"@darmpya_ @joblessforsure Ndio data ni muhimu ili zitusaidie kupata chanjo na misaada mingine tukenda hivi hatutafanikiwa kwa jambo lolote",1.40763e+18,2021-06-23,"relevant",1
"@RMaroseck hapana, ingawa dalili za ugonjwa huweza kuchukua hata mwaka mmoja hadi miwili kutokea, ni vizuri kama uliwahi kung'atwa ukaenda hospitali kupata chanjo",1.31055e+18,2020-09-28,"relevant",1
"@MarekaMalili Naraia anayetafuta chanjo kimagendo huyo hayupo pamoja na wenzake ni msaliti litakalo mkuta wenzake wataona ni sawa tu",1.36793e+18,2021-03-05,"relevant",2
"@HKigwangalla Huyu itakuwa kachomwa chanjo ya porio",1.42042e+18,2021-07-28,"relevant",2
"Hata kama hutaki chanjo ukienda nchini kwao wanakulazimisha kuipata. https://t.co/ZZ3WYM1OOh",1.34319e+18,2020-12-27,"relevant",2
"@darmpya_ Tuleteeni chanjo, tumechoka kusikia hizi episode",1.36891e+18,2021-03-08,"relevant",1
"Baby njoo nikuchome chanjo basi 😅 https://t.co/7s1ggXMMjZ",1.42351e+18,2021-08-06,"relevant",2
"@kafangii @CBCC_Africa @NMS_Kenya @WorldVisionKE @MOH_Kenya @USAIDKenya @MOH_DHP @VaccinesKenya Tupate chanjo wadau",1.57112e+18,2022-09-17,"relevant",1
"@Eric_Bernard94 Cha muhimu ni chanjo tu kwa sasa.",1.42876e+18,2021-08-20,"relevant",1
"RT @adamlutta: Hivi Uviko 19 iliishia wapi ?",1.49796e+18,2022-02-27,"relevant",2
"RT @NyumbaNiChoo: Vijana wameupokea vyema ujumbe wa SasaNiZamuYetu, wamehamasika kuchanja chanjo ya UVIKO-19 kwaajili ya kuwalinda wapendwa…",1.46017e+18,2021-11-15,"relevant",1
"RT @MiriamMkanaka: Ukiachana na sababu za Kiafya, za kupata chanjo ya Uviko 19, sababu nyingine muhimu ni sababu za kiuchumi.
Bila kupata c…",1.54469e+18,2022-07-06,"relevant",1
"RT @UNICEFTanzania: Vijana wanaongoza kwa mabadiliko!
Mwaka jana, balozi wetu wa Vijana, @MsokaEmmanuel alibuni mashine ya kunawia mikono a…",1.46138e+18,2021-11-18,"relevant",1
"@rollymsouth Kumbe nimeelewa 
Means chanjo ni lazima maana itafika wakati hatutapata huduma muhimu mpaka pale uwe umechanjwa📩",1.42643e+18,2021-08-14,"relevant",1
"Wataalamu wa afya wanasema, watu wanaosita kupata chanjo ya Uviko 19, wana kiburi cha afya.
Yakiwakuta watajuta.
#UjanjaKuchanja 
#ChanjaOkoaMaisha",1.51388e+18,2022-04-12,"relevant",1
"Masks help curb the spread of COVID-19.

It is advisable to change your mask every day, if using a fabric mask wash after every 24hrs.

Chanjwa! Pata Chanjo, tuwe Chonjo!

#Chanjwa #TuweChonjo https://t.co/BaUsY2FWGk",1.55145e+18,2022-07-25,"relevant",1
"@ChagulaniShabie @KKagasheki Mwongozo wetu unatoa chanjo za awali, kama hujawahi kupewa chanjo kupitia mfumo wa wizara nenda utapatiwa 

Kama unahitaji chanjo ya nyongeza itakubidi uulize kwa msimamizi wa kituo ila mwongozo wetu hauna utaratibu wa chanjo ",1.51068e+18,2022-04-03,"relevant",2
"@neemalugangira @tzDiscovery @TzHealthSummit @elimuyaafya @wizara_afyatz @maendeleoyajami @WHO_Tanzania @AmrefTanzania @MasakoPrudence @NormanJonasMD @JuliethSebbaMD @Kudu_ze_Kudu @EngenderHealth Mmejipa mpaka ubalozi wa Uviko 19 Tanzania noma",1.44891e+18,2021-10-15,"relevant",2
"@RealHauleGluck wapi tumesema tunataka chanjo au nikudonoe https://t.co/pNkgQgOvfF",1.40881e+18,2021-06-26,"relevant",2
"@McinikaWaLamar Na Vile watu wameisusia Chanjo tusitegemee kuingiza mashabiki kwnye game za kimataifa za vilabu vyetu pia kwa game zijazo maana kirusi KIPYA chaja km",1.43532e+18,2021-09-07,"relevant",1
"Zimewasili, vituo vya chanja vilisha Tangazwa, mapambano dhidi ya #UVIKO_19 au #COVID19 https://t.co/DfqVmZ2TKh",1.42115e+18,2021-07-30,"relevant",1
"@MMwankina @godbless_lema @HecheJohn Unajiskiaje kuishi kwenye nchi ambayo serikali yake inaendeshwa kwa uongo?serikali ambayo inazani ukiongoza nchi ujuwe wewe ni wa milele? Kufa tena kwao hakupo?kama mtu chanjo inataka kumuuwa leo unasema anakisukari , ",1.42675e+18,2021-08-15,"relevant",2
"@CloudsMediaLive Na angekuwa hai msinge leta swala la chanjo",1.43271e+18,2021-08-31,"relevant",2
"WHO nao siwaelew
Watu wanakufa wao wanasema tuendelee kujidunga tu hyo chanjo https://t.co/9n0lXhXQMe",1.37185e+18,2021-03-16,"relevant",2
"Nikapate chanjo ya nne ya Corona wallah😂😂😂😂😂😂😂😂 https://t.co/JbdWArhSDO",1.49005e+18,2022-02-05,"relevant",2
"@wizara_afyatz Hii show ya bure tuu, sichomi labda na mie mnihakikishie hii chanjo feki ya maji ya drip.",1.42045e+18,2021-07-28,"relevant",2
